id,5662,   usa, f, , 19520101, mr, ethan, fry, sa, evandale, 3551, 88, grove place, bobblegigbie, 07 20984124, 1295928, 4, norole
1,9254,   fre, f, 31, 19850629, , domenique, lafitte, nsw, hurstville grove, 2370, 58, guilfoyle street, , 02 17165229, 1402113, 8, norole
2,1148,   usa, m, 10, 20060603, ms, blake, fitzgerald, nsw, box hill, 2220, 51, dwyer street, , , 6635173, 2, norole
3,9523,   chi, f, 37, 19791206, , molly, yu, qld, dolphin heads, 6004, 246, burvill place, corinella glen, 3 93111489, 5450650, 7, norole
4,4294,   chi, f, 31, 19850103, mr, alyssa, luk, qld, bingil bay, 2036, 129, moss street, henley appartments, 3 09310127, 7154362, 8, norole
5,1254,   , f, 13, 20030116, , kylie, budge, vic, niddrie, 3175, 6, coane street, , 8 60721591, 8397926, 5, norole
6,9434,   chi, , 29, 19870830, , zachary, tseon, nsw, kiora, 2903, 5, davenport street, , 612 64094589, 4891552, 0, norole
7,7209,   usa, m, 34, 19820816, dr, elisha, alford, sa, agery, 2323, 15, vasey crescent, , 7 97358917, 7446247, 6, norole
8,9946,   dut, f, 34, 19821023, sgt, luke, degoey, wa, lake clifton, 4012, 10, herron crescent, , 08 72335404, 4271690, 0, norole
9,426,   usa, f, 26, 19900226, , melissa, hamilton, wa, barrow island, 2145, 61, sturt avenue, , 8 24888230, 3024965, 7, norole
10,3146-dup-1, spa, , 28, 19871021, , hannah, escriva, , boggabri, 2663, 2, aurora close, , 07 59432883, 5869582, 1, norole
11,5903,   ira, f, 24, 19920114, , alice, kavian, nsw, tabbita, 4125, 17, currie crescent, , 2 83270602, 1978060, 4, norole
12,7612,   afg, m, , 19261216, , james, hazara, nsw, blackheath, 2194, 3, savery street, , , 3003894, 7, norole
13,9919,   unk, f, 31, , , jessica, scjum, qld, bethania, 6163, 22, brebner street, , 3 29177368, 3136862, 9, norole
14,2841,   eng, f, , 19900729, , lucas, garrod, qld, bungunya, 3148, 49, darwinia terrace, tregoning station, 613 31491624, 2105093, 4, norole
15,3672,   eng, f, 32, 19841214, , caleb, merricks, nsw, toormina, 3076, 3, drevermann street, finis river, 2 27999896, 1344974, 9, norole
16,1811,   usa, f, 30, 19860204, ms, alexander, booth, nsw, mylestom, 4870, 1, ranken place, , 2 68377910, 7622293, 0, norole
17,3522,   eng, , , 19390228, mr, cade, smedley, nsw, cobar park, 2046, 1, cossington smith crescent, , , 8604805, 8, norole
18,2090,   ser, f, , 19650714, pfc, ella, gojkovic, wa, forest grove, 2198, 22, jabanungga avenue, clarence chambers, 8 50461776, 4819822, 1, norole
19,2878,   chi, f, 30, , ms, nathan, luen, vic, redan, 4221, 188, singleton crescent, cooroora, 8 88503708, 7422879, 3, norole
20,1927, chi, f, , 19940918, ms, dal, zhucke, kwld, hmeburn, 2147, 66, dominion circuit, , 613 59959572, 1512387, 9, norole
21,2617,   eng, , 30, 19860415, dr, alessia, huxtable, nsw, manyana, 2850, 11, punch place, mannafields farm, 2 21904758, 4166408, 2, norole
22,5960,   unk, f, 25, 19911215, , charlie, strawbridge, , elliminyt, 3152, 78, savige street, , 04 52536452, 8579916, 9, norole
23,6847,   usa, f, 33, 19830425, , skye, rodriguez, nsw, doonside, 2770, 2, wanderer court, , 2 63119253, 5875874, 5, norole
24,9396,   chi, m, 33, 19831226, , thomas, wang, nsw, broadmeadows, 2761, 26, fred lane crescent, kyeema, 612 98153443, 5141340, 6, norole
25,5783,   pol, , 30, 19860327, , alannah, dzwonicki, vic, avenel, 4215, 14, molesworth street, , 8 57797345, 8643617, 4, norole
26,2397,   usa, f, , 19640122, ms, jordan, contreras, nsw, blighty, 2558, 86, blamey crescent, , 08 46690008, 7576561, 1, norole
27,4625, eng, m, 32, 19841013, ms, lauren, a a mson, ns w, hu9h e , 417 1, 1, ennor crescent, , 02 82 36167, 3524 875, 8, norole
28,6016-dup-1, ind, f, 30, 19861 229, , kyl , saloni, vic, ball ar at west, 45g0, 2, carrodus street, , 8 428 2 5080, 2794448, 7, norole
29,3475,   unk, f, 39, 19770801, , nathan, sclater, , inglewood, 6122, 7, sexton street, , 02 73167348, 1758818, 3, norole
30,6022,   unk, f, 35, 19810621, dr, blake, strazzari, qld, whitfield, 4573, 41, pennefather street, , 613 66717061, 6896483, 9, norole
31,6543,   eng, , 40, 19760716, hon, giuliana, hooker, qld, aurukun, 3356, 15, sandford street, country rd estate, 3 33049891, 4261590, 8, norole
32,4809,   fin, m, 33, 19830320, , rhett, repo, nsw, lilyfield, 4305, 14, meeson street, landraff, 02 33105568, 3047128, 6, norole
33,9506,   ind, f, 28, 19880512, pfc, molly, sikand, nsw, newcastle, 3340, 59, aspinall street, villa 3, 02 18743372, 2355543, 9, norole
34,3854,   eng, f, 29, 19870226, , ella, walterson, nsw, copeland, 2450, 419, thornton place, , 02 33733946, 1613413, 5, norole
35,2642,   spa, , , 19480515, ms, thomas, orrego, nsw, rosemeadow, 6290, 303, tepper circuit, delderfield, 2 99603149, 3397452, 4, norole
36,3051,   ind, f, 27, 19890528, mr, jake, kalpak, vic, redan, 3124, 11, kingston street, , 618 65190257, 7411536, 9, norole
37,7169,   chi, f, 33, 19831104, , georgia, wang, vic, bellbridge, 6063, 8, risdon place, , 8 58910984, 4697057, 0, norole
38,4076,   , f, 30, , , faith, wittchen, vic, jan juc, 7249, 4, beaney street, , 08 73831244, 3720801, 4, norole
39,4971,   ita, , 37, 19790528, dr, joshua, schettina, , bayview heights, 2094, 28, mccormack street, , 02 09459056, 6594976, 7, norole
40,5337,   ser, , 27, 19891005, , joel, andjelic, wa, girrawheen, 4132, 803, chuculba crescent, , 618 97899100, 6233787, 4, norole
41,7798,   usa, , 30, , dr, rhett, gardner, nsw, brownsville, 2077, 38, southern cross drive, , 612 76762766, 7374100, 0, norole
42,3912,   ind, f, 33, 19830506, , april, ramanujam, vic, kunyung, 4870, 71, badcoe street, ulinga, 8 47073358, 1582765, 4, norole
43,3133,   hun, f, 28, 19880331, , mya, hedervary, qld, east palmerston, 3147, 28, sturdee crescent, , 3 11739219, 8243901, 6, norole
44,7028,   dut, m, 34, , col, elle, jonk, qld, mango hill, 4051, 99, eaglemont retreat, , 03 84660147, 5282467, 6, norole
45,9382,   usa, m, 27, 19890722, , joel, rodriquez, vic, yaapeet, 3188, 19, tennyson crescent, , 8 43665576, 6218950, 9, norole
