rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-1079-dup-0, eng, f, 9, 20070322, , broo e, bonney, , hadspen, 4880, 344, tantangara street, tathra river est, 04 99866263, 5228309, 9, NoRole
rec-6908-org,   usa, f, 26, 19900212, , giuliana, lai, qld, trotter creek, 2560, 17, moon place, , 613 03902074, 4688954, 2, NoRole
rec-4508-org,   usa, , 39, 19770807, , takeisha, adams, nsw, hinchinbrook, 4709, 2, waramanga place, , 2 43906256, 4462043, 0, NoRole
rec-2823-org,   chi, , 37, 19790610, ms, jake, kam, nsw, grahamstown, 7260, 21, kudyera place, , 02 59926198, 3429535, 6, NoRole
rec-1319-org,   eng, f, 27, 19890608, pfc, finn, dick, vic, strathbogie, 4069, 1, derrington crescent, , 8 31195607, 2945164, 6, NoRole
rec-9432-org,   swe, , , 19151018, , emiily, ekerot, qld, great keppel island, 5264, 65, garling street, , 07 77243524, 8659008, 1, NoRole
rec-6925-org,   eng, , 32, 19841223, , , derrickson, qld, wyaga, 2163, 131, malara street, bindana downs, 3 23502478, 6783112, 9, NoRole
rec-4775-org,   ind, f, , 19020203, ms, oscar, sunanda, wa, balladong, 4133, 130, wheeler crescent, arawang, 08 35159622, 7371208, 7, NoRole
rec-1952-org,   usa, f, 31, 19850817, , james, hood, , allawah, 3070, 132, albermarle place, , 03 68693541, 5403435, 4, NoRole
rec-5336-org,   usa, f, 35, , , daniel, king, nsw, marsden park, 2577, 29, elyard place, , 2 54573416, 2651681, 0, NoRole
rec-6420-org,   usa, f, , 19980531, , , rivers, wa, nudgee beach, 4285, 65, friend place, , 8 92213682, 1357105, 8, NoRole
rec-6860-org,   chi, f, 32, 19840708, dr, logan, jin, vic, naracoorte, 6102, 30, wargi place, lignum, 08 58025306, 5636147, 5, NoRole
rec-767-org,   pol, m, 32, 19841227, pfc, emma, brzezinski, qld, valley view, 2583, 5, saville close, , 03 34964549, 7570588, 1, NoRole
rec-4348-org,   eng, f, 6, 20100531, , holly, wescott, qld, barlil, 2295, 43, newdegate street, , 3 66620453, 9167695, 1, NoRole
rec-4091-org,   usa, f, 30, 19861207, , madison, riddle, , ourimbah, 4055, 63, croton street, peak view, 03 15412402, 8528472, 6, NoRole
rec-9582-org,   ara, f, , 19551202, , emiily, basmah, , kingston, 4060, 73, moorhouse street, , 03 94581479, 5384109, 8, NoRole
rec-6801-org,   eng, f, 23, 19930901, , john, hodson, vic, fernbank, 2208, 117, pitcairn street, booroondoo north, 8 68381919, 2345881, 6, NoRole
rec-6906-org,   usa, f, 10, 20060503, , joel, kaufman, qld, stafford heights, 4304, 452, , , 613 58678686, 8926740, 0, NoRole
rec-7988-org,   eng, f, 28, 19880324, , thomas, samuelson, vic, camberwell west, 2770, 26, waldock street, greenhills, 08 09588645, 2061362, 8, NoRole
rec-4547-org,   usa, f, 26, 19900103, , brooke, sears, vic, dennington, 2681, 23, vanzetti crescent, harkness station, 618 12971308, 2685314, 7, NoRole
rec-3252-org,   ger, f, 9, 20070127, , ebony, meinecke, nsw, blue haven, 3020, 4, priddle street, adelaide, 2 48219862, 9531944, 8, NoRole
rec-280-org,   ind, f, 30, 19861001, , tommy, rajamani, vic, flynn, 4573, 5, ashby circuit, killarney, 8 96751555, 4940119, 6, NoRole
rec-9223-org,   eng, f, 34, 19821217, , jack, rattray, nsw, kangaloon, 5169, 10, chaffey crescent, , 02 81989773, 5466356, 2, NoRole
rec-2557-org,   gre, , 26, 19901106, ms, oliver, toka, nsw, north strathfield, 2075, 6, pasley place, , 612 16172930, 7938628, 4, NoRole
rec-9703-org,   ara, f, 25, 19910128, , jack, shaistah, nsw, north ryde, 2305, 4, aland place, , 2 41795646, 5536815, 1, NoRole
rec-1488-org,   eng, m, 9, 20070921, , aidan, tash, , como, 2071, 280, amagula avenue, , 03 08070042, 6880535, 7, NoRole
rec-324-org,   ind, f, 32, 19840117, , jorja, gugral, vic, darnum, 4152, 20, alberga street, , 8 22388792, 9696712, 1, NoRole
rec-6004-dup-0, ina, m, , 19100921, hon, matthew, santoso, vic, fostter, 2173, 106, , larnach, 04 49554304, 9946913, 0, NoRole
rec-1139-org,   eng, f, 35, 19810302, , taylor, christinson, vic, macclesfield, 4220, 138, wagga street, , 618 17824897, 4241881, 4, NoRole
rec-5007-org,   usa, f, 25, 19910419, mr, archer, , nsw, elermore vale, 6020, 37, milford street, bridgefoot down, 2 26282699, 5903217, 7, NoRole
rec-9120-org,   usa, f, 20, 19960903, , matthew, ortega, , beverly hills, 4670, 258, mitta place, court units, 08 01832003, 3860402, 1, NoRole
rec-65-org,   usa, f, , 19600510, , jesse, peters, tas, eastwood, 2087, 7, jensen street, , 617 21363676, 5049825, 1, NoRole
rec-1470-org,   eng, f, 36, 19800504, , daniel, becket, sa, blakeview, 5159, 48, templeton street, , 617 16806209, 2660900, 9, NoRole
rec-9615-org,   unk, f, 30, 19860305, mr, joel, sciacca, nsw, leumeah, 3082, 15, caldwell street, broadbridge manor, 2 02918318, 1768246, 6, NoRole
rec-1565-org,   chi, f, 23, 19930312, , benjamin, jie, nsw, leichhardt, 3083, 758, salsola street, , 02 07344663, 6429796, 2, NoRole
rec-156-org,   ind, , 37, 19790621, , dale, sanu, qld, goovigen, 2795, 79, wettenhall circuit, hollybrooke, 613 36123511, 2995543, 8, NoRole
rec-5657-org,   usa, f, 31, , , connor, snow, nsw, georgica, 4350, 113, , st john of god hospital, 612 57544121, 2424530, 2, NoRole
rec-8609-org,   eng, f, 25, 19910819, , chloe, scrivenor, wa, nambung, 3033, 33, louisa lawson crescent, , 08 29920119, 1327073, 1, NoRole
rec-1789-dup-0, eng, f, 11, 20050513, mr, zoe, nathanson, sa, montacute, 2567, 129, budd pl ace, apmnt 65, 7 61977231, 2733701, 1, NoRole
rec-1305-org,   , f, 40, 19760213, mr, ella, wilkins, nsw, niangala, 6396, 1, wyangala street, argyle, 02 67959974, 6596008, 6, NoRole
rec-8016-org,   jap, f, 33, 19831226, ms, joshua, shimada, nsw, canton beach, 2171, 22, allchin circuit, , 612 28841488, 8985055, 5, NoRole
rec-2351-org,   , f, 10, 20061225, , lia, arnaoutis, nsw, dangar island, 2800, 20, , , 2 48581462, 9857414, 3, NoRole
rec-4327-dup-0, vie, f, 36, 19800819, mr, william, giap, vic, maribyrnong, 6107, 475, jinka street, , 618 74983519, 3911667, 2, NoRole
rec-3183-org,   eng, f, 25, 19910406, , natassia, evanson, vic, taree, 2216, 69, jenner court, , 8 25639029, 7297466, 9, NoRole
rec-7616-org,   chi, f, , , , kyle, ou, qld, captain creek, 4061, 8, wargi place, rsde 817 wallace, 3 58676920, 6680030, 3, NoRole
rec-9117-org,   eng, f, , 19080211, , kylee, pottinger, vic, hill end, 3194, 16, hinkler street, , 08 09006955, 9242563, 7, NoRole
rec-1009-org,   usa, f, 23, , mr, jack, drake, sa, kyancutta, 4031, 5, pulleine crescent, dunmunkle lodge, 7 13055729, 3974715, 5, NoRole
rec-601-org,   eng, f, 26, , mr, arabella, dickenson, nsw, goulburn, 4020, 5, mcrae place, , 612 35550278, 5611865, 0, NoRole
rec-3295-dup-0, ina, f, 32, 19840520, mr, james, gunawan, q d, bunya, 4215, 44, vickers crescent, , 613 26307055, 1360992, 0, NoRole
rec-9312-org,   unk, m, 28, 19880203, , kyra, scorsone, vic, barwon downs, 6027, 7, booroondara street, pieracle, 8 91577155, 4305778, 0, NoRole
rec-8692-org,   chi, , , 19920529, pfc, shae, hsiang, vic, balwyn, 2251, 1029, burdekin avenue, , 08 60394659, 6764329, 8, NoRole
rec-6182-org,   unk, f, 33, 19830706, , alana, strainij, vic, ballarat north, 7008, 4, , , 618 97786565, 7927036, 4, NoRole
rec-9617-org,   spa, m, 28, 19880729, , hayley, cachon, qld, tarragindi, 4567, 25, hickenbotham street, inverpine ret vill, 03 61858887, 2995332, 9, NoRole
rec-90-org,   eng, f, 30, 19861229, , bianca, babcoke, vic, harcourt, 2516, 4, kennedy street, anzac house (cnr archer s street, 618 94107868, 1794797, 4, NoRole
rec-6333-org,   unk, f, 28, 19881101, , jaime, strangway, sa, parilla, 2107, 2, macgregor street, , 7 52915893, 3492775, 3, NoRole
