rec_id, culture, sex, age, date_of_birth, title, given_name, surname, state, suburb, postcode, street_number, address_1, address_2, phone_number, soc_sec_id, blocking_number, family_role
rec-641-org,   ind, m, 35, 19820629, , connor, nimbalkar, , ashgrove, 2032, 18, hope street, hillcourt, 04 09732430, 9613229, 5, NoRole
rec-120-org,   ina, f, 20, 19970209, , jasmin, iskandar, vic, wynnum west, 4556, 14, gibb place, glendower, 08 59484221, 2723417, 7, NoRole
rec-184-org,   chi, m, , 19661110, , zac, jin, sa, stockport, 3328, 216, ferguson circuit, , 617 55596622, 8391651, 1, NoRole
rec-697-org,   eng, f, 30, 19871210, ms, trevor, thacker, qld, woowoonga, 6638, 30, stewart crescent, , 613 20955860, 5195116, 0, NoRole
rec-473-org,   usa, f, 23, 19941219, , ella, delgado, vic, russells bridge, 2230, 13, mouat street, apmnt 501, 618 17297222, 2424246, 7, NoRole
rec-962-org,   usa, , 27, 19900406, , benjamin, lindsay, nsw, nashua, 6156, 96, burrinjuck crescent, westport, 02 91031884, 5171859, 6, NoRole
rec-979-org,   chi, f, 36, , , edward, yuk, qld, homebush, 4152, 77, ella close, sunshine coast private hosptl medcl cent, 3 68853076, 8308801, 9, NoRole
rec-348-dup-7, usa, f, 27, , , tomast, hoopeah, njw, keit all, 4101, 17, , , 02 14014959, 9496455, 7, NoRole
rec-186-org,   rom, , 27, 19900718, ms, lillianna, niculaie, vic, corack, 3168, 36, , , 08 66850828, 2365873, 9, NoRole
rec-251-dup-3, dan, f, 26, 19910121, , joshua, goldbaek, vid, arthurs creek, 6065, 1402, augustuw lose, , 8 35047188, 2756481, 1, NoRole
rec-39-org,   afg, f, , 19820531, mr, mitchell, ghurghasht, vic, greensborough, 4152, 19, batman street, , , 9267624, 3, NoRole
rec-413-org,   afr, , , 19250420, , cooper, kazadi, vic, dandongadale, , , harford street, kioloa park, 618 14481799, 8879518, 1, NoRole
rec-686-org,   chi, f, 34, 19830424, hon, taylah, pi, vic, culgoa, 5095, 148, , yarra valley clinic, 618 43775648, 7270984, 8, NoRole
rec-646-org,   eng, f, 39, 19781212, pfc, pearson, earls, vic, red hill south, 2541, 22, kirkcaldie circuit, pine hill, 04 39927274, 9097942, 6, NoRole
rec-390-org,   tur, f, 31, , , andrew, tarik, tas, crabtree, 3150, 42, caley crescent, , 07 86025669, 6674440, 3, NoRole
rec-119-org,   cze, f, , 19980409, dr, ryan, horÁk, nsw, chifley, 2259, 27, duffus place, , 02 42756698, 4579029, 8, NoRole
rec-671-org,   ind, f, 34, , mr, caitlin, ramchand, nsw, ellangowan, 4157, 4, chowne street, , 07 18032905, 5645892, 5, NoRole
rec-159-org,   por, f, 35, 19821221, , abbey, monteiro, nsw, armatree, 2430, 13, paul coe crescent, , 2 16114854, 1288842, 2, NoRole
rec-709-org,   jap, f, 24, 19930114, , kane, tsujimura, qld, bethania, 2068, 1, galbu place, karrara, 03 40846230, 4874128, 7, NoRole
rec-594-org,   eng, , 29, , , laura, sutherland, vic, cranbourne north, 2046, 8, fairweather circuit, , 07 70244269, 5957109, 7, NoRole
rec-18-org,   eng, , , 19311025, ms, griffin, lukeson, vic, fyansford, 7306, 16, hinkler street, , 08 13860052, 4317127, 3, NoRole
rec-183-org,   usa, , 28, 19890630, , ethan, estrada, qld, doomadgee, 3123, 40, charterisville avenue, , 3 03190318, 6707677, 6, NoRole
rec-539-org,   eng, f, , 19700105, , pascale, victorson, nsw, hillgrove, 2224, 121, barr-smith avenue, port rush parade, 612 58247833, 8317808, 4, NoRole
rec-503-org,   dut, f, 35, 19821024, , dylan, haag, qld, alexandra, 4357, 13, mcculloch street, , 3 47127500, 1534643, 3, NoRole
rec-945-org,   hun, f, 36, 19811202, rev, kiarnee, kovÁcs, nsw, rileys hill, 3121, 14, dooland court, carey park, 612 99589748, 8329837, 1, NoRole
rec-313-org,   eng, m, 31, 19860407, , daniel, edwardson, , berowra heights, 2365, 8, tenison-woods circuit, , 07 59573110, 6848101, 4, NoRole
rec-651-org,   eng, m, 25, , , hugo, quigg, , speddingup east, 4116, 2, steinwedel street, , 03 90246282, 2970361, 8, NoRole
rec-757-org,   usa, , 29, 19881028, , nikita, hendricks, nsw, pendle hill, 2753, 31, galway place, redwood village, 2 27922620, 7991133, 3, NoRole
rec-928-org,   eng, f, , 19210203, , carly, earls, sa, osborne, 2285, 69, windich street, mirilla, 617 99201073, 5473407, 2, NoRole
rec-777-org,   spa, m, 24, 19930612, , victoria, rubio, vic, freshwater creek, 3929, 48, glenelg street, , 08 08413760, 9780624, 3, NoRole
rec-33-org,   eng, f, 28, 19890316, , benjamin, hawk, qld, booubyjan, 4160, 47, lalor street, , 613 78316420, 4012986, 3, NoRole
rec-3-org,   usa, m, 30, 19870202, ms, emma, beasley, nsw, brooms head, 2261, 19, higinbotham street, , 02 96709962, 5605249, 7, NoRole
rec-577-org,   chi, f, 32, 19850131, , caitlin, dzou, act, north haven, 6110, 4, mount vernon drive, meringle, 02 79136790, 1033765, 1, NoRole
rec-256-org,   usa, f, 29, 19880520, , michaela, santiago, wa, daliak, 3083, 1, tauss place, , 08 41001029, 9770369, 2, NoRole
rec-727-org,   ind, f, 37, , , alessandra, bhambwani, nsw, beelbangera, 6167, 5, eggleston crescent, valencia park, 612 93785731, 1380724, 6, NoRole
rec-840-org,   unk, m, 26, 19910723, ms, elise, strainij, nsw, daleys point, 3130, 42, cameron street, , 612 27480676, 3134579, 9, NoRole
rec-963-org,   eng, m, 21, 19960529, , sophie, thorne, wa, frenchs forest, 5089, 86, winnecke street, hobbit hole, 08 33148514, 3571581, 9, NoRole
